Chromosome,Start_Nucleotide,End_Nucleotide,Peak_ID
chr7,83580900,83581388,all_Chip_RFX1_vs_GRCm38.89_peak_8517
chr2,134643981,134644574,all_Chip_RFX1_vs_GRCm38.89_peak_5657
chr16,9280838,9281479,all_Chip_RFX1_vs_GRCm38.89_peak_3761
chr3,90062482,90063037,all_Chip_RFX1_vs_GRCm38.89_peak_6174
chr12,72265199,72265741,all_Chip_RFX1_vs_GRCm38.89_peak_2120
chr18,6055449,6056132,all_Chip_RFX1_vs_GRCm38.89_peak_4458
chr19,38235154,38235745,all_Chip_RFX1_vs_GRCm38.89_peak_4950
chr14,55204946,55205531,all_Chip_RFX1_vs_GRCm38.89_peak_3050
chr4,131170944,131171600,all_Chip_RFX1_vs_GRCm38.89_peak_6906
chr11,52079960,52080507,all_Chip_RFX1_vs_GRCm38.89_peak_1343
chr1,17449138,17449806,all_Chip_RFX1_vs_GRCm38.89_peak_36
chr4,119415306,119415900,all_Chip_RFX1_vs_GRCm38.89_peak_6829
chr1,74935362,74935937,all_Chip_RFX1_vs_GRCm38.89_peak_230
chr16,14906284,14906837,all_Chip_RFX1_vs_GRCm38.89_peak_3783
chr11,70562201,70562743,all_Chip_RFX1_vs_GRCm38.89_peak_1484
chr8,86389854,86390416,all_Chip_RFX1_vs_GRCm38.89_peak_9108
chr7,44405496,44406178,all_Chip_RFX1_vs_GRCm38.89_peak_8376
chr2,21205032,21205947,all_Chip_RFX1_vs_GRCm38.89_peak_5156
chr7,80186880,80187454,all_Chip_RFX1_vs_GRCm38.89_peak_8498
chr8,105469216,105469736,all_Chip_RFX1_vs_GRCm38.89_peak_9198
chr17,30590446,30591187,all_Chip_RFX1_vs_GRCm38.89_peak_4201
chr5,30814173,30814836,all_Chip_RFX1_vs_GRCm38.89_peak_7165
chr9,20651428,20652057,all_Chip_RFX1_vs_GRCm38.89_peak_9364
chr4,156050560,156051018,all_Chip_RFX1_vs_GRCm38.89_peak_7084
chr5,135674887,135675360,all_Chip_RFX1_vs_GRCm38.89_peak_7572
chr11,34112802,34113419,all_Chip_RFX1_vs_GRCm38.89_peak_1299
chr7,141194738,141195325,all_Chip_RFX1_vs_GRCm38.89_peak_8786
chr7,128298858,128299345,all_Chip_RFX1_vs_GRCm38.89_peak_8712
chr9,27203054,27203652,all_Chip_RFX1_vs_GRCm38.89_peak_9407
chr8,105827435,105828106,all_Chip_RFX1_vs_GRCm38.89_peak_9206
